DBN,schoolName,type,totalGC&SW,totalGC,totalSW,fulltime_GC,fulltime_SW,parttime_GC,parttime_SW,bilingual_GC,bilingual_SW,GC_ServeLocMoreThanOne,SW_ServeLocMoreThanOne,SY19-20Enrollment,enrollmentRatioTotal,enrollmentratio_GC,enrollmentratio_SW,ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,fullAddress,gcode,latitude,longitude
02M217,P.S./I.S. 217 Roosevelt Island,K-8,1.6,1.6,0.0,1,0,0.6,0.0,0.0,0,0.6,0.0,640,400,400,640,02M217,M,1.0,M217,P.S./I.S. 217 ROOSEVELT ISLAND,K-8,1.0,2.0,2.0,645 MAIN STREET,NY,10044,MANDANA BECKMAN,212-980-0294,212-980-1192,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"645 MAIN STREET, NY, 10044","645 Main St, New York, NY 10044, USA",40.764146,-73.9483885
02M225,Ella Baker School,K-8,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,332,332,332,332,02M225,M,1.0,M225,ELLA BAKER SCHOOL,K-8,1.0,2.0,2.0,317 EAST  67 STREET,NY,10065,LAURA GARCIA,212-717-8809,212-717-8807,"PK,0K,01,02,03,04,05,06,07,08",MANHATTAN,"317 EAST  67 STREET, NY, 10065","317 E 67th St, New York, NY 10065, USA",40.7653683,-73.9596962
02M260,The Clinton School,SECONDARY SCHOOL,4.0,4.0,0.0,4,0,0.0,0.0,1.0,0,0.0,0.0,776,194,194,776,02M260,M,1.0,M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,Junior High-Intermediate-Middle,1.0,2.0,2.0,425 WEST 33RD STREET,NY,10001,JOSEPH ANDERSON,212-695-9114,212-695-9611,"06,07,08,SE",New York,"425 WEST 33RD STREET, NY, 10001","425 W 33rd St, New York, NY 10001, USA",40.7534006,-73.9979279
02M280,Manhattan Early College School for Advertising,HIGH SCHOOL,3.2,3.0,0.2,3,0,0.0,0.2,0.0,0,0.0,0.2,445,139,148,445,,,,,,,,,,,,,,,,,,"411 PEARL STREET, Manhattan, 10038","411 Pearl St, New York, NY 10038, USA",40.7110316,-74.0013216
02M288,Food and Finance High School,HIGH SCHOOL,3.0,3.0,0.0,3,0,0.0,0.0,0.0,0,0.0,0.0,379,126,126,379,02M288,M,1.0,M288,FOOD AND FINANCE HIGH SCHOOL,High school,1.0,2.0,2.0,525 WEST  50TH STREET,NY,10019,ROGER TURGEON,212-586-2943,212-586-4205,"09,10,11,12,SE",MANHATTAN,"525 WEST  50TH STREET, NY, 10019","525 W 50th St, New York, NY 10019, USA",40.76563840000001,-73.9931036
02M289,I.S. 289,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,276,276,276,276,02M289,M,1.0,M289,I.S. 289,Junior High-Intermediate-Middle,1.0,2.0,2.0,201 WARREN STREET,NY,10282,ELLEN FOOTE,212-571-9268,212-587-6610,"06,07,08,SE",MANHATTAN,"201 WARREN STREET, NY, 10282","201 Warren St, New York, NY 10282, USA",40.7169119,-74.01359699999999
02M297,M.S. 297,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,841,421,421,841,,,,,,,,,,,,,,,,,,"75 MORTON STREET, Manhattan, 10014","75 Morton St, New York, NY 10014, USA",40.731204,-74.0074039
02M308,Lower Manhattan Arts Academy,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,314,157,157,314,02M308,M,1.0,M308,LOWER MANHATTAN ARTS ACADEMY,High school,1.0,2.0,2.0,350 GRAND STREET,NY,10002,JOHN WENK,212-505-0143,212-674-8021,"09,10,11,12,SE",MANHATTAN,"350 GRAND STREET, NY, 10002","350 Grand St, New York, NY 10002, USA",40.7173452,-73.9892929
02M312,New York City Lab Middle School for Collaborative,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.6,2.0,0.6,2,0,0.0,0.6,0.0,0,0.0,0.6,603,232,302,603,02M312,M,1.0,M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,Junior High-Intermediate-Middle,1.0,2.0,2.0,333 WEST  17 STREET,NY,10011,MEGAN ADAMS,212-691-6119,212-691-6219,"06,07,08,SE",MANHATTAN,"333 WEST  17 STREET, NY, 10011","333 W 17th St, New York, NY 10011, USA",40.74250989999999,-74.0022418
02M316,"Urban Assembly School of Business for Young Women,",HIGH SCHOOL,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,178,178,178,178,02M316,M,1.0,M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",High school,1.0,2.0,2.0,26 BROADWAY,NY,10004,PATRICIA MINAYA,212-668-0169,212-668-0635,"09,10,11,12,SE",NEW YORK,"26 BROADWAY, NY, 10004","26 Broadway, New York, NY 10004, USA",40.7052022,-74.0131655
02M343,The Peck Slip School,ELEMENTARY,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,458,458,458,458,,,,,,,,,,,,,,,,,,"1 PECK SLIP, Manhattan, 10038","1 Peck Slip, New York, NY 10038, USA",40.7085785,-74.0018264
02M374,Gramercy Arts High School,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,449,225,225,449,02M374,M,1.0,M374,GRAMERCY ARTS HIGH SCHOOL,High school,1.0,2.0,2.0,40 IRVING PLACE,NY,10003,DENISE DICARLO,212-253-7076,212-253-8095,"09,10,11,12,SE",NEW YORK,"40 IRVING PLACE, NY, 10003","40 Irving Pl, New York, NY 10003, USA",40.73518079999999,-73.9870892
02M376,NYC iSchool,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,465,233,233,465,02M376,M,1.0,M376,NYCISCHOOL,High school,1.0,2.0,2.0,131 AVENUE OF THE AMERICAS,NY,10013,Alisa Berger,917-237-7300,212-219-0743,"09,10,11,SE",MANHATTAN,"131 AVENUE OF THE AMERICAS, NY, 10013","131 6th Ave, New York, NY 10013, USA",40.7246823,-74.0050859
02M392,Manhattan Business Academy,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,406,203,203,406,02M392,M,1.0,M392,MANHATTAN BUSINESS ACADEMY,High school,1.0,2.0,2.0,351 WEST  18 STREET,NY,10011,KAREN POLSONETTI,212-647-1983,212-647-1989,"09,10,SE",MANHATTAN,"351 WEST  18 STREET, NY, 10011","351 W 18th St, New York, NY 10011, USA",40.7432281,-74.002426
02M394,Emma Lazarus High School,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,1.0,0,0.0,0.0,307,154,154,307,02M394,M,1.0,M394,EMMA LAZARUS HIGH SCHOOL,High school,1.0,2.0,2.0,100 HESTER STREET,NY,10002,MELODY KELLOGG,212-925-5017,212-925-5920,"09,10,11,12",MANHATTAN,"100 HESTER STREET, NY, 10002","100 Hester St, New York, NY 10002, USA",40.7161943,-73.9933849
02M399,The High School For Language And Diplomacy,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,1.0,0,0.0,0.0,274,137,137,274,02M399,M,1.0,M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High school,1.0,2.0,2.0,40 IRVING PLACE,NY,10003,SANTIAGO MAYOL,212-253-2480,212-253-2539,"09,10,SE",NEW YORK,"40 IRVING PLACE, NY, 10003","40 Irving Pl, New York, NY 10003, USA",40.73518079999999,-73.9870892
02M408,Professional Performing Arts High School,SECONDARY SCHOOL,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,577,577,577,577,02M408,M,1.0,M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Secondary School,1.0,2.0,2.0,328 WEST  48 STREET,NY,10036,KEITH RYAN,212-247-8652,212-247-7514,"06,07,08,09,10,11,12",MANHATTAN,"328 WEST  48 STREET, NY, 10036","328 W 48th St, New York, NY 10036, USA",40.761226,-73.9886092
02M411,Baruch College Campus High School,HIGH SCHOOL,4.0,4.0,0.0,4,0,0.0,0.0,0.0,0,0.0,0.0,487,122,122,487,02M411,M,1.0,M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,High school,1.0,2.0,2.0,55 EAST  25 STREET,NY,10010,Alicia Perez-Katz,212-683-7440,212-683-7338,"09,10,11,12",MANHATTAN,"55 EAST  25 STREET, NY, 10010","55 E 25th St, New York, NY 10010, USA",40.741968,-73.98589919999999
02M412,N.Y.C. Lab School for Collaborative Studies,HIGH SCHOOL,2.6,2.6,0.0,2,0,0.6,0.0,0.0,0,0.0,0.0,514,198,198,514,02M412,M,1.0,M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,High school,1.0,2.0,2.0,333 WEST  17 STREET,NY,10011,BROOKE JACKSON,212-691-6119,212-691-2147,"09,10,11,12,SE",MANHATTAN,"333 WEST  17 STREET, NY, 10011","333 W 17th St, New York, NY 10011, USA",40.74250989999999,-74.0022418
02M414,N.Y.C. Museum School,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,454,227,227,454,02M414,M,1.0,M414,N.Y.C. MUSEUM SCHOOL,High school,1.0,2.0,2.0,333 WEST  17 STREET,NY,10011,DARLENE MILLER,212-675-6206,212-675-6524,"09,10,11,12,SE",MANHATTAN,"333 WEST  17 STREET, NY, 10011","333 W 17th St, New York, NY 10011, USA",40.74250989999999,-74.0022418
02M416,Eleanor Roosevelt High School,HIGH SCHOOL,3.0,3.0,0.0,3,0,0.0,0.0,0.0,0,0.0,0.0,541,180,180,541,02M416,M,1.0,M416,ELEANOR ROOSEVELT HIGH SCHOOL,High school,1.0,2.0,2.0,411 EAST 76 STREET,NY,10021,DIMITRI SALIANI,212-772-1220,212-772-1440,"09,10,11,12",MANHATTAN,"411 EAST 76 STREET, NY, 10021","411 E 76th St, New York, NY 10021, USA",40.7702849,-73.9532948
02M418,Millennium High School,HIGH SCHOOL,3.3,3.1,0.2,2,0,1.1,0.2,0.0,0,0.0,0.2,674,204,217,674,02M418,M,1.0,M418,MILLENNIUM HIGH SCHOOL,High school,1.0,2.0,2.0,75 BROAD STREET,NY,10004,ROBERT RHODES,212-825-9008,212-825-9095,"09,10,11,12,SE",MANHATTAN,"75 BROAD STREET, NY, 10004","75 Broad St, New York, NY 10004, USA",40.70473,-74.0114523
02M419,Landmark High School,HIGH SCHOOL,2.2,2.0,0.2,2,0,0.0,0.2,1.0,0,0.0,0.2,335,155,168,335,02M419,M,1.0,M419,LANDMARK HIGH SCHOOL,High school,1.0,2.0,2.0,351 WEST  18 STREET,NY,10011,TREVOR NAIDOO,212-647-7410,212-647-7416,"09,10,11,12,SE",MANHATTAN,"351 WEST  18 STREET, NY, 10011","351 W 18th St, New York, NY 10011, USA",40.7432281,-74.002426
02M420,High School for Health Professions and Human Servi,HIGH SCHOOL,7.8,7.0,0.8,7,0,0.0,0.8,1.0,0,0.0,0.0,1822,234,260,1822,02M420,M,1.0,M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,High school,1.0,2.0,2.0,345 EAST  15TH STREET,NY,10003,ROBERT GENTILE,212-780-9175,212-979-7261,"09,10,11,12,SE",MANHATTAN,"345 EAST  15TH STREET, NY, 10003","345 E 15th St, New York, NY 10003, USA",40.732689,-73.98258969999999
02M425,Leadership and Public Service High School,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,361,181,181,361,02M425,M,1.0,M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,High school,1.0,2.0,2.0,90 TRINITY PLACE,NY,10006,LAWRENCE PENDERGAST,212-346-0007,212-346-0612,"09,10,11,12,SE",MANHATTAN,"90 TRINITY PLACE, NY, 10006","90 Trinity Pl, New York, NY 10006, USA",40.708961,-74.01243099999999
02M427,Manhattan Academy For Arts & Language,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,210,105,105,210,02M427,M,1.0,M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High school,1.0,2.0,2.0,111 EAST  33 STREET,NY,10016,Siv Boletsis,718 935-4087,TBD,"09,SE",MANHATTAN,"111 EAST  33 STREET, NY, 10016","111 E 33rd St, New York, NY 10016, USA",40.7463061,-73.9811402
02M439,Manhattan Village Academy,HIGH SCHOOL,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,460,460,460,460,02M439,M,1.0,M439,MANHATTAN VILLAGE ACADEMY,High school,1.0,2.0,2.0,43 WEST  22 STREET,NY,10010,HECTOR GEAGER,212-242-8752,212-242-7630,"09,10,11,12,SE",MANHATTAN,"43 WEST  22 STREET, NY, 10010","43 W 22nd St, New York, NY 10010, USA",40.7419328,-73.9922313
02M442,"Ballet Tech, NYC Public School for Dance",K-8,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,141,141,141,141,02M442,M,1.0,M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",K-12 all grades,1.0,2.0,2.0,890 BROADWAY,NY,10003,ROY ONEILL,212-254-1803,212-477-5048,"04,05,06,07,08",MANHATTAN,"890 BROADWAY, NY, 10003","890 Broadway, New York, NY 10003, USA",40.7385507,-73.9895743
02M489,High School of Economics and Finance,HIGH SCHOOL,3.0,3.0,0.0,3,0,0.0,0.0,1.0,0,0.0,0.0,738,246,246,738,02M489,M,1.0,M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,High school,1.0,2.0,2.0,100 TRINITY PLACE,NY,10006,MICHAEL  STANZIONE,212-346-0708,212-346-0712,"09,10,11,12,SE",MANHATTAN,"100 TRINITY PLACE, NY, 10006","100 Trinity Pl, New York, NY 10006, USA",40.70925709999999,-74.0123392
02M500,Unity Center for Urban Technologies,HIGH SCHOOL,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,267,267,267,267,02M500,M,1.0,M500,UNITY CENTER FOR URBAN TECHNOLOGIES,High school,1.0,2.0,2.0,111 EAST  33 STREET,NY,10016,FAUSTO DE LA ROSA,212-343-8038,212-343-8044,"09,10,11,12,SE",MANHATTAN,"111 EAST  33 STREET, NY, 10016","111 E 33rd St, New York, NY 10016, USA",40.7463061,-73.9811402
02M527,P.S. 527 - East Side School for Social Action,ELEMENTARY,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,480,480,480,480,,,,,,,,,,,,,,,,,,"323 EAST 91 STREET, Manhattan, 10128","323 E 91st St, New York, NY 10128, USA",40.7805758,-73.94794499999999
02M533,Union Square Academy for Health Sciences,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,404,202,202,404,,,,,,,,,,,,,,,,,,"40 IRVING PLACE, Manhattan, 10003","40 Irving Pl, New York, NY 10003, USA",40.73518079999999,-73.9870892
02M542,Manhattan Bridges High School,HIGH SCHOOL,3.2,3.0,0.2,3,0,0.0,0.2,2.0,0,0.0,0.2,520,162,173,520,02M542,M,1.0,M542,MANHATTAN BRIDGES HIGH SCHOOL,High school,1.0,2.0,2.0,525 WEST  50TH STREET,NY,10019,MIRZA SANCHEZ MEDINA,212-757-5274,212-757-5411,"09,10,11,12,SE",MANHATTAN,"525 WEST  50TH STREET, NY, 10019","525 W 50th St, New York, NY 10019, USA",40.76563840000001,-73.9931036
02M545,High School for Dual Language and Asian Studies,HIGH SCHOOL,2.0,2.0,0.0,2,0,0.0,0.0,1.0,0,0.0,0.0,396,198,198,396,02M545,M,1.0,M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High school,1.0,2.0,2.0,350 GRAND STREET,NY,10002,LI YAN,212-475-4097,212-674-1392,"09,10,11,12",MANHATTAN,"350 GRAND STREET, NY, 10002","350 Grand St, New York, NY 10002, USA",40.7173452,-73.9892929
02M565,Urban Academy Laboratory High School,HIGH SCHOOL,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,137,137,137,137,02M565,M,1.0,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,High school,1.0,2.0,2.0,317 EAST  67 STREET,NY,10065,Herb Mack,212-570-5284,212-570-5366,"09,10,11,12",MANHATTAN,"317 EAST  67 STREET, NY, 10065","317 E 67th St, New York, NY 10065, USA",40.7653683,-73.9596962
02M575,Manhattan Comprehensive Night and Day High School,HIGH SCHOOL,4.0,4.0,0.0,4,0,0.0,0.0,0.0,0,0.0,0.0,704,176,176,704,02M575,M,1.0,M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,High school,1.0,2.0,2.0,240 2 AVENUE,NY,10003,MICHAEL TOISE,212-353-2010,212-353-1673,"10,11,12,SE",MANHATTAN,"240 2 AVENUE, NY, 10003","240 2nd Ave, New York, NY 10003, USA",40.7326568,-73.9844033
02M600,The High School of Fashion Industries,HIGH SCHOOL,8.0,8.0,0.0,8,0,0.0,0.0,1.0,0,0.0,0.0,1589,199,199,1589,02M600,M,1.0,M600,"HIGH SCHOOL OF FASHION INDUSTRIES, THE",High school,1.0,2.0,2.0,225 WEST  24 STREET,NY,10011,Daryl Blank,212-255-1235,212-255-4756,"09,10,11,12,SE",MANHATTAN,"225 WEST  24 STREET, NY, 10011","225 W 24th St, New York, NY 10011, USA",40.7456692,-73.99650369999999
02M655,Life Sciences Secondary School,HIGH SCHOOL,3.0,3.0,0.0,3,0,0.0,0.0,1.0,0,0.0,0.0,394,131,131,394,02M655,M,1.0,M655,LIFE SCIENCES SECONDARY SCHOOL,Secondary School,1.0,2.0,2.0,320 EAST  96 STREET,NY,10128,GENEVIEVE STANISLAUS,212-348-1694,212-348-4293,"06,07,08,09,10,11,12,SE",MANHATTAN,"320 EAST  96 STREET, NY, 10128","320 E 96th St, New York, NY 10128, USA",40.7832167,-73.9460393
02M896,Lower Manhattan Community Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,378,378,378,378,02M896,M,1.0,M896,GREENWICH VILLAGE,Junior High-Intermediate-Middle,1.0,2.0,2.0,26 BROADWAY,NY,10004,KELLY MCGUIRE,646-826-8100,646-826-8101,"06,07,08,SE",NEW YORK,"26 BROADWAY, NY, 10004","26 Broadway, New York, NY 10004, USA",40.7052022,-74.0131655
02M933,City Knoll Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,154,154,154,154,,,,,,,,,,,,,,,,,,"440 WEST 53 STREET, Manhattan, 10019","440 W 53rd St, New York, NY 10019, USA",40.7660107,-73.9897148
