ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,fullAddress,gcode,latitude,longitude
22K139      ,K,2,K139,P.S. 139 ALEXINE A. FENTY,Elementary,1,22,22,330 RUGBY ROAD,NY,11226,MARY MCDONALD,718-282-5254,718-940-1205,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"330 RUGBY ROAD, NY, 11226","330 Rugby Rd, Brooklyn, NY 11226, USA",40.6413592,-73.9657847
75K140      ,K,2,K140,P.S. K140,K-8,1,23,75,985 ROCKAWAY AVENUE,NY,11212,MICHELLE CARPENTER,718-498-2800,718-498-9192,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"985 ROCKAWAY AVENUE, NY, 11212","985 Rockaway Ave, Brooklyn, NY 11212, USA",40.6558268,-73.9066342
75K141      ,K,2,K141,P.S. K141,K-12 all grades,1,17,75,655 PARKSIDE AVENUE,NY,11226,MICHELE THORNTON MANNIX,718-941-0320,718-941-3152,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",BROOKLYN,"655 PARKSIDE AVENUE, NY, 11226","655 Parkside Ave, Brooklyn, NY 11226, USA",40.6564304,-73.9513202
32K145      ,K,2,K145,P.S. 145 ANDREW JACKSON,Elementary,1,32,32,100 NOLL STREET,NY,11206,MARILYN TORRES,718-821-4823,718-417-3453,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"100 NOLL STREET, NY, 11206","100 Noll St, Brooklyn, NY 11206, USA",40.701515,-73.9322622
15K146      ,K,2,K146,P.S. 146,Elementary,1,15,15,610 HENRY STREET,NY,11231,ANNA ALLANBROOK,718-923-4750,718-923-4780,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"610 HENRY STREET, NY, 11231","610 Henry St, Brooklyn, NY 11231, USA",40.6794537,-74.0021478
14K147      ,K,2,K147,P.S. 147 ISSAC REMSEN,Elementary,1,14,14,325 BUSHWICK AVENUE,NY,11206,JULIA DRAKE,718-497-0326,718-628-4988,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"325 BUSHWICK AVENUE, NY, 11206","325 Bushwick Ave, Brooklyn, NY 11206, USA",40.7050566,-73.9386916
19K149      ,K,2,K149,P.S. 149 DANNY KAYE,Elementary,1,19,19,700 SUTTER AVENUE,NY,11207,ENID SILVERA,718-385-8666,718-345-8118,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"700 SUTTER AVENUE, NY, 11207","700 Sutter Ave, Brooklyn, NY 11207, USA",40.6693828,-73.8927625
23K150      ,K,2,K150,P.S. 150 CHRISTOPHER,K-8,1,23,23,364 SACKMAN STREET,NY,11212,Pamela Bradley Muchere,718-495-7746,718-922-3785,"0K,01,02,03,04,05,08,SE",BROOKLYN,"364 SACKMAN STREET, NY, 11212","364 Sackman St, Brooklyn, NY 11212, USA",40.6686983,-73.9050266
32K151      ,K,2,K151,P.S. 151 LYNDON B. JOHNSON,Elementary,1,32,32,763 KNICKERBOCKER AVENUE,NY,11207,Maria Anaya,718-821-4800,718-821-0166,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"763 KNICKERBOCKER AVENUE, NY, 11207","763 Knickerbocker Ave, Brooklyn, NY 11207, USA",40.6933864,-73.9082878
22K152      ,K,2,K152,SCHOOL OF SCIENCE & TECHNOLOGY,Elementary,1,22,22,725 EAST  23 STREET,NY,11210,Dr. Rhonda D. Farkas,718-434-5222,718-859-5965,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"725 EAST  23 STREET, NY, 11210","725 E 23rd St, Brooklyn, NY 11210, USA",40.6326964,-73.9540755
21K153      ,K,2,K153,P.S. 153 HOMECREST,Elementary,1,21,21,1970 HOMECREST AVENUE,NY,11229,Carl SantaMaria,718-375-4484,718-375-4439,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1970 HOMECREST AVENUE, NY, 11229","1970 Homecrest Ave, Brooklyn, NY 11229, USA",40.6011615,-73.95999909999999
15K154      ,K,2,K154,MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY,Elementary,1,15,15,1625 11 AVENUE,NY,11215,SAMUEL ORTIZ,718-768-0057,718-832-2573,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1625 11 AVENUE, NY, 11215","1625 11th Ave, Brooklyn, NY 11215, USA",40.6571235,-73.976108
23K155      ,K,2,K155,P.S./ I.S. 155 NICHOLAS HERKIMER,K-8,1,23,23,1355 HERKIMER STREET,NY,11233,NELLY CORTES,718-495-7751,718-345-9064,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1355 HERKIMER STREET, NY, 11233","1355 Herkimer St, Brooklyn, NY 11233, USA",40.6776074,-73.90866079999999
23K156      ,K,2,K156,P.S. 156 WAVERLY,Elementary,1,23,23,104 SUTTER AVENUE,NY,11212,BEVERLY LOGAN,718-498-2811,718-346-2804,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"104 SUTTER AVENUE, NY, 11212","104 Sutter Ave, Brooklyn, NY 11212, USA",40.6654788,-73.9180947
14K157      ,K,2,K157,P.S. 157 BENJAMIN FRANKLIN,Elementary,1,14,14,850 KENT AVENUE,NY,11205,MARIBEL TORRES,718-622-9285,718-398-4155,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"850 KENT AVENUE, NY, 11205","850 Kent Ave, Brooklyn, NY 11205, USA",40.6953729,-73.95995309999999
19K158      ,K,2,K158,P.S. 158 WARWICK,Elementary,1,19,19,400 ASHFORD STREET,NY,11207,AUDREY WILSON,718-277-6116,718-827-4300,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"400 ASHFORD STREET, NY, 11207","400 Ashford St, Brooklyn, NY 11207, USA",40.6725442,-73.8851372
19K159      ,K,2,K159,P.S. 159 ISAAC PITKIN,Elementary,1,19,19,2781 PITKIN AVENUE,NY,11208,MONICA DUNCAN,718-277-4828,718-827-4531,"0K,01,02,03,04,05,SE",BROOKLYN,"2781 PITKIN AVENUE, NY, 11208","2781 Pitkin Ave, Brooklyn, NY 11208, USA",40.6760566,-73.869702
17K161      ,K,2,K161,P.S. 161 THE CROWN,K-8,1,17,17,330 CROWN STREET,NY,11225,Ms. Deborah Barrett,718-756-3100,718-953-3605,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"330 CROWN STREET, NY, 11225","330 Crown St, Brooklyn, NY 11225, USA",40.6659347,-73.949485
32K162      ,K,2,K162,J.H.S. 162 THE WILLOUGHBY,Junior High-Intermediate-Middle,1,32,32,1390 WILLOUGHBY AVENUE,NY,11237,Barbara DeMartino,718-821-4860,718-821-1728,"06,07,08,SE",BROOKLYN,"1390 WILLOUGHBY AVENUE, NY, 11237","1390 Willoughby Ave, Brooklyn, NY 11237, USA",40.7067061,-73.9196324
20K164      ,K,2,K164,P.S. 164 CAESAR RODNEY,Elementary,1,20,20,4211 14 AVENUE,NY,11219,Margaret Choy-Shan,718-854-4100,718-853-9306,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"4211 14 AVENUE, NY, 11219","4211 14th Ave, Brooklyn, NY 11219, USA",40.6371629,-73.9858036
23K165      ,K,2,K165,P.S. 165 IDA POSNER,K-8,1,23,23,76 LOTT AVENUE,NY,11212,Fran Ellers,718-495-7759,718-345-8255,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"76 LOTT AVENUE, NY, 11212","76 Lott Ave, Brooklyn, NY 11212, USA",40.6571964,-73.9110895
19K166      ,K,2,K166,J.H.S. 166 GEORGE GERSHWIN,Junior High-Intermediate-Middle,1,19,19,800 VAN SICLEN AVE,NY,11207,MARIA ORTEGA,718-649-0765,718-927-2172,"06,07,08,SE",BROOKLYN,"800 VAN SICLEN AVE, NY, 11207","800 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6598585,-73.8855966
17K167      ,K,2,K167,P.S. 167 THE PARKWAY,Elementary,1,17,17,1025 EASTERN PARKWAY,NY,11213,MARC MARDY,718-774-2640,718-953-1954,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1025 EASTERN PARKWAY, NY, 11213","1025 Eastern Pkwy, Brooklyn, NY 11213, USA",40.6694409,-73.93437480000001
15K169      ,K,2,K169,P.S. 169 SUNSET PARK,Elementary,1,15,15,4305 7 AVENUE,NY,11232,JOSEPHINE SANTIAGO,718-853-3224,718-633-9621,"0K,01,02,03,04,05,SE",BROOKLYN,"4305 7 AVENUE, NY, 11232","4305 7th Ave, Brooklyn, NY 11232, USA",40.6459698,-74.0018264
20K170      ,K,2,K170,P.S. 170 LEXINGTON,Elementary,1,20,20,7109 6 AVENUE,NY,11209,Zhen (Tony) Wu,718-748-0333,718-921-6351,"0K,01,02,03,04,05,SE",BROOKLYN,"7109 6 AVENUE, NY, 11209","7109 6th Ave, Brooklyn, NY 11209, USA",40.6304173,-74.0187201
19K171      ,K,2,K171,I.S. 171 ABRAHAM LINCOLN,Junior High-Intermediate-Middle,1,19,19,528 RIDGEWOOD AVENUE,NY,11208,YOLANDA FUSTANIO,718-647-0111,718-827-5834,"05,06,07,08,SE",BROOKLYN,"528 RIDGEWOOD AVENUE, NY, 11208","528 Ridgewood Ave, Brooklyn, NY 11208, USA",40.6858609,-73.8693804
15K172      ,K,2,K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,Elementary,1,15,15,825 4 AVENUE,NY,11232,Jack Spatola,718-965-4200,718-965-2468,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"825 4 AVENUE, NY, 11232","825 4th Ave, Brooklyn, NY 11232, USA",40.657666,-74.000168
19K174      ,K,2,K174,P.S. 174 DUMONT,K-8,1,19,19,574 DUMONT AVENUE,NY,11207,INGRID MASON,718-345-1223,718-345-8808,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"574 DUMONT AVENUE, NY, 11207","574 Dumont Ave, Brooklyn, NY 11207, USA",40.6655954,-73.8976315
20K176      ,K,2,K176,P.S. 176 OVINGTON,Elementary,1,20,20,1225 69 STREET,NY,11219,ELIZABETH CULKIN,718-236-7755,718-331-9188,"0K,01,02,03,04,05,SE",BROOKLYN,"1225 69 STREET, NY, 11219","1225 Bay Ridge Ave, Brooklyn, NY 11219, USA",40.6247799,-74.0051318
21K177      ,K,2,K177,P.S. 177 THE MARLBORO,Elementary,1,21,21,346 AVENUE P,NY,11204,SHOSHANA SINGER,718-375-9506,718-375-4450,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"346 AVENUE P, NY, 11204","346 Avenue P, Brooklyn, NY 11223, USA",40.6083673,-73.9742333
23K178      ,K,2,K178,P.S. 178 SAINT CLAIR MCKELWAY,K-8,1,23,23,2163 DEAN STREET,NY,11233,JOSEPH FRANTZ HENRY,718-495-7768,718-495-2304,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"2163 DEAN STREET, NY, 11233","2163 Dean St, Brooklyn, NY 11233, USA",40.6752336,-73.915361
20K179      ,K,2,K179,P.S. 179 KENSINGTON,Elementary,1,20,20,202 AVENUE C,NY,11218,VALERIE JOSEPH,718-438-4010,718-871-7484,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"202 AVENUE C, NY, 11218","202 Avenue C, Brooklyn, NY 11218, USA",40.6402049,-73.9772637
20K180      ,K,2,K180,P.S. 180 HOMEWOOD,K-8,1,20,20,5601 16 AVENUE,NY,11204,GARY WILLIAMS,718-851-8070,718-853-9308,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"5601 16 AVENUE, NY, 11204","5601 16th Ave, Brooklyn, NY 11204, USA",40.6267129,-73.9895684
17K181      ,K,2,K181,P.S. 181 BROOKLYN,K-8,1,17,17,1023 NEW YORK AVENUE,NY,11203,LOWELL COLEMAN,718-462-5298,718-284-5053,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1023 NEW YORK AVENUE, NY, 11203","1023 New York Ave, Brooklyn, NY 11203, USA",40.6480961,-73.94599339999999
23K184      ,K,2,K184,P.S. 184 NEWPORT,K-8,1,23,23,273 NEWPORT STREET,NY,11212,LAMSON LAM,718-495-7775,718-385-4655,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"273 NEWPORT STREET, NY, 11212","273 Newport St, Brooklyn, NY 11212, USA",40.6601967,-73.9050266
20K185      ,K,2,K185,P.S. 185 WALTER KASSENBROCK,Elementary,1,20,20,8601 RIDGE BOULEVARD,NY,11209,KENNETH LLINAS,718-745-6610,718-836-9631,"0K,01,02,03,04,05,SE",BROOKLYN,"8601 RIDGE BOULEVARD, NY, 11209","8601 Ridge Blvd, Brooklyn, NY 11209, USA",40.6235788,-74.0335467
20K186      ,K,2,K186,P.S. 186 DR. IRVING A GLADSTONE,Elementary,1,20,20,7601 19 AVENUE,NY,11214,Bayan (Ebeid) Cadotte,718-236-7071,718-331-9181,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"7601 19 AVENUE, NY, 11214","7601 19th Ave, Brooklyn, NY 11214, USA",40.6112005,-73.9944809
20K187      ,K,2,K187,I.S. 187,Junior High-Intermediate-Middle,1,20,20,1171 65 STREET,NY,11219,JUSTIN BERMAN,718-236-3394,718-236-3638,"06,07,08,SE",BROOKLYN,"1171 65 STREET, NY, 11219","1171 65th St, Brooklyn, NY 11219, USA",40.6278464,-74.0040229
21K188      ,K,2,K188,P.S. 188 MICHAEL E. BERDY,Elementary,1,21,21,3314 NEPTUNE AVENUE,NY,11224,Frederick M.  Tudda,718-266-6380,718-266-7103,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"3314 NEPTUNE AVENUE, NY, 11224","3314 Neptune Ave, Brooklyn, NY 11224, USA",40.5769299,-74.0005238
